treatment,time,sa
ctrl,0,1.125612251
ctrl,0,4.843786034
ctrl,0,3.817037499
ctrl,0,1.856017203
ctrl,0,2.939087669
col,0,1.167964253
col,0,4.980911983
col,0,3.917750221
col,0,1.738881096
col,0,3.948591006
cvi,0,3.252990497
cvi,0,1.432745365
cvi,0,1.422259132
cvi,0,3.535239918
cvi,0,3.532950566
br,0,2.759609092
br,0,1.900982222
br,0,2.783821189
br,0,3.31986218
br,0,1.898260521
ctrl,12,4.421014435
ctrl,12,0.721205978
ctrl,12,2.401240715
ctrl,12,4.965144305
ctrl,12,1.636855674
col,12,5.128720002
col,12,4.005242724
col,12,4.046952031
col,12,5.228021419
col,12,5.281173033
cvi,12,5.346500704
cvi,12,7.711462319
cvi,12,6.828775347
cvi,12,4.950263832
cvi,12,7.03757536
br,12,4.210991805
br,12,4.889261895
br,12,2.441157314
br,12,2.979033843
br,12,3.110845499
ctrl,24,3.937318301
ctrl,24,4.72101295
ctrl,24,1.923338485
ctrl,24,0.463151665
ctrl,24,0.114727858
col,24,9.440224055
col,24,5.433531814
col,24,8.191920917
col,24,7.496731854
col,24,5.352187384
cvi,24,8.435931277
cvi,24,9.886502008
cvi,24,6.919978744
cvi,24,6.835540634
cvi,24,5.626522002
br,24,3.370798102
br,24,2.265969203
br,24,3.710429438
br,24,3.839593279
br,24,2.042063211
ctrl,48,3.906504174
ctrl,48,1.174685009
ctrl,48,3.269588869
ctrl,48,4.912364802
ctrl,48,1.544348353
col,48,5.027696204
col,48,7.235511675
col,48,7.363888994
col,48,6.76925775
col,48,7.955823272
cvi,48,6.051948809
cvi,48,6.073921558
cvi,48,7.111351329
cvi,48,5.668486905
cvi,48,6.314409259
br,48,1.438809544
br,48,1.673862334
br,48,2.652498177
br,48,2.69356485
br,48,5.059155921
