genotype,treatment,sa
wt,ctl,0.386154135
wt,ctl,1.486140948
wt,ctl,3.657850425
wt,ctl,1.892840232
wt,ctl,3.028282705
wt,col,11.91641785
wt,col,7.288478826
wt,col,4.062049269
wt,col,4.109039855
wt,col,7.929835421
wt,cvi,8.290805597
wt,cvi,4.222525303
wt,cvi,7.310684142
wt,cvi,5.381486011
wt,cvi,5.902964601
wt,br,1.451033932
wt,br,0.968340932
wt,br,2.210359983
wt,br,1.107869745
wt,br,3.041040671
atm,ctl,2.398232221
atm,ctl,4.695307564
atm,ctl,0.576153893
atm,ctl,5.093241335
atm,ctl,4.630976536
atm,col,1.896999966
atm,col,4.067558741
atm,col,7.395632252
atm,col,6.540657185
atm,col,1.056695757
atm,cvi,5.132215763
atm,cvi,3.295022545
atm,cvi,2.971622066
atm,cvi,5.346085902
atm,cvi,4.440094933
atm,br,4.166738344
atm,br,6.027715812
atm,br,6.896365897
atm,br,0.844538356
atm,br,1.698885413
atr,ctl,4.168630271
atr,ctl,6.300866416
atr,ctl,3.915384684
atr,ctl,4.452718807
atr,ctl,3.117432192
atr,col,7.323630984
atr,col,7.427175844
atr,col,4.294872845
atr,col,3.267510932
atr,col,1.35161976
atr,cvi,8.086923764
atr,cvi,2.972173355
atr,cvi,3.20085872
atr,cvi,5.495574196
atr,cvi,2.985773146
atr,br,2.700942344
atr,br,4.354184077
atr,br,6.476402326
atr,br,3.143081521
atr,br,1.325601115
